Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status,Observation
E01011386,Leeds 016D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011386,Leeds 016D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01011386,Leeds 016D,Economically active and a full-time student,27
E01011386,Leeds 016D,Economically inactive: Retired,307
E01011386,Leeds 016D,Economically inactive: Student,79
E01011386,Leeds 016D,Economically inactive: Looking after home or family,54
E01011386,Leeds 016D,Economically inactive: Long-term sick or disabled,15
E01011386,Leeds 016D,Economically inactive: Other,36
E01011388,Leeds 019B,Does not apply,254
E01011388,Leeds 019B,Economically active (excluding full-time students): In employment: Employee: Part-time,136
E01011388,Leeds 019B,Economically active (excluding full-time students): In employment: Employee: Full-time,478
E01011388,Leeds 019B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01011388,Leeds 019B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,17
E01011388,Leeds 019B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,42
E01011388,Leeds 019B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,51
E01011388,Leeds 019B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,26
E01011388,Leeds 019B,Economically active and a full-time student: In employment: Employee: Part-time,10
E01011388,Leeds 019B,Economically active and a full-time student: In employment: Employee: Full-time,4
E01011388,Leeds 019B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011388,Leeds 019B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011388,Leeds 019B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01011388,Leeds 019B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011388,Leeds 019B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01011388,Leeds 019B,Economically active and a full-time student,19
E01011388,Leeds 019B,Economically inactive: Retired,346
E01011388,Leeds 019B,Economically inactive: Student,69
E01011388,Leeds 019B,Economically inactive: Looking after home or family,48
E01011388,Leeds 019B,Economically inactive: Long-term sick or disabled,48
E01011388,Leeds 019B,Economically inactive: Other,41
E01011390,Leeds 087A,Does not apply,230
E01011390,Leeds 087A,Economically active (excluding full-time students): In employment: Employee: Part-time,147
E01011390,Leeds 087A,Economically active (excluding full-time students): In employment: Employee: Full-time,422
E01011390,Leeds 087A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,0
E01011390,Leeds 087A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,5
E01011390,Leeds 087A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,28
E01011390,Leeds 087A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,56
E01011390,Leeds 087A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,27
E01011390,Leeds 087A,Economically active and a full-time student: In employment: Employee: Part-time,6
E01011390,Leeds 087A,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011390,Leeds 087A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011390,Leeds 087A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E01011390,Leeds 087A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011390,Leeds 087A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011390,Leeds 087A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01011390,Leeds 087A,Economically active and a full-time student,12
E01011390,Leeds 087A,Economically inactive: Retired,279
E01011390,Leeds 087A,Economically inactive: Student,38
E01011390,Leeds 087A,Economically inactive: Looking after home or family,31
E01011390,Leeds 087A,Economically inactive: Long-term sick or disabled,72
E01011390,Leeds 087A,Economically inactive: Other,21
E01011391,Leeds 087B,Does not apply,227
E01011391,Leeds 087B,Economically active (excluding full-time students): In employment: Employee: Part-time,141
E01011391,Leeds 087B,Economically active (excluding full-time students): In employment: Employee: Full-time,406
E01011391,Leeds 087B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01011391,Leeds 087B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,10
E01011391,Leeds 087B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,28
E01011391,Leeds 087B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,33
E01011391,Leeds 087B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,36
E01011391,Leeds 087B,Economically active and a full-time student: In employment: Employee: Part-time,7
E01011391,Leeds 087B,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011391,Leeds 087B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011391,Leeds 087B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011391,Leeds 087B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011391,Leeds 087B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011391,Leeds 087B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01011391,Leeds 087B,Economically active and a full-time student,14
E01011391,Leeds 087B,Economically inactive: Retired,471
E01011391,Leeds 087B,Economically inactive: Student,42
E01011391,Leeds 087B,Economically inactive: Looking after home or family,39
E01011391,Leeds 087B,Economically inactive: Long-term sick or disabled,66
E01011391,Leeds 087B,Economically inactive: Other,39
E01011392,Leeds 087C,Does not apply,439
E01011392,Leeds 087C,Economically active (excluding full-time students): In employment: Employee: Part-time,180
E01011392,Leeds 087C,Economically active (excluding full-time students): In employment: Employee: Full-time,612
E01011392,Leeds 087C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01011392,Leeds 087C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,20
E01011392,Leeds 087C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,36
E01011392,Leeds 087C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,53
E01011392,Leeds 087C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,27
E01011392,Leeds 087C,Economically active and a full-time student: In employment: Employee: Part-time,10
E01011392,Leeds 087C,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011392,Leeds 087C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011392,Leeds 087C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011392,Leeds 087C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011392,Leeds 087C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011392,Leeds 087C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01011392,Leeds 087C,Economically active and a full-time student,20
E01011392,Leeds 087C,Economically inactive: Retired,429
E01011392,Leeds 087C,Economically inactive: Student,47
E01011392,Leeds 087C,Economically inactive: Looking after home or family,40
E01011392,Leeds 087C,Economically inactive: Long-term sick or disabled,51
E01011392,Leeds 087C,Economically inactive: Other,25
E01011393,Leeds 103C,Does not apply,447
E01011393,Leeds 103C,Economically active (excluding full-time students): In employment: Employee: Part-time,235
E01011393,Leeds 103C,Economically active (excluding full-time students): In employment: Employee: Full-time,787
E01011393,Leeds 103C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01011393,Leeds 103C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,22
E01011393,Leeds 103C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,47
E01011393,Leeds 103C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,57
E01011393,Leeds 103C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,32
E01011393,Leeds 103C,Economically active and a full-time student: In employment: Employee: Part-time,26
E01011393,Leeds 103C,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011393,Leeds 103C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011393,Leeds 103C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011393,Leeds 103C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011393,Leeds 103C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01011393,Leeds 103C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01011393,Leeds 103C,Economically active and a full-time student,37
E01011393,Leeds 103C,Economically inactive: Retired,363
E01011393,Leeds 103C,Economically inactive: Student,51
E01011393,Leeds 103C,Economically inactive: Looking after home or family,32
E01011393,Leeds 103C,Economically inactive: Long-term sick or disabled,58
E01011393,Leeds 103C,Economically inactive: Other,31
E01011394,Leeds 103D,Does not apply,186
E01011394,Leeds 103D,Economically active (excluding full-time students): In employment: Employee: Part-time,140
E01011394,Leeds 103D,Economically active (excluding full-time students): In employment: Employee: Full-time,307
E01011394,Leeds 103D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01011394,Leeds 103D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,9
E01011394,Leeds 103D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,22
E01011394,Leeds 103D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,52
E01011394,Leeds 103D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,25
E01011394,Leeds 103D,Economically active and a full-time student: In employment: Employee: Part-time,16
E01011394,Leeds 103D,Economically active and a full-time student: In employment: Employee: Full-time,0
E01011394,Leeds 103D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011394,Leeds 103D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011394,Leeds 103D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011394,Leeds 103D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011394,Leeds 103D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01011394,Leeds 103D,Economically active and a full-time student,18
E01011394,Leeds 103D,Economically inactive: Retired,277
E01011394,Leeds 103D,Economically inactive: Student,38
E01011394,Leeds 103D,Economically inactive: Looking after home or family,26
E01011394,Leeds 103D,Economically inactive: Long-term sick or disabled,40
E01011394,Leeds 103D,Economically inactive: Other,15
E01011395,Leeds 103E,Does not apply,259
E01011395,Leeds 103E,Economically active (excluding full-time students): In employment: Employee: Part-time,116
E01011395,Leeds 103E,Economically active (excluding full-time students): In employment: Employee: Full-time,410
E01011395,Leeds 103E,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01011395,Leeds 103E,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,5
E01011395,Leeds 103E,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,28
E01011395,Leeds 103E,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,56
E01011395,Leeds 103E,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,23
E01011395,Leeds 103E,Economically active and a full-time student: In employment: Employee: Part-time,14
E01011395,Leeds 103E,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011395,Leeds 103E,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011395,Leeds 103E,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011395,Leeds 103E,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011395,Leeds 103E,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011395,Leeds 103E,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,7
E01011395,Leeds 103E,Economically active and a full-time student,22
E01011395,Leeds 103E,Economically inactive: Retired,124
E01011395,Leeds 103E,Economically inactive: Student,55
E01011395,Leeds 103E,Economically inactive: Looking after home or family,31
E01011395,Leeds 103E,Economically inactive: Long-term sick or disabled,38
E01011395,Leeds 103E,Economically inactive: Other,27
E01011396,Leeds 074A,Does not apply,308
E01011396,Leeds 074A,Economically active (excluding full-time students): In employment: Employee: Part-time,188
E01011396,Leeds 074A,Economically active (excluding full-time students): In employment: Employee: Full-time,603
E01011396,Leeds 074A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,3
E01011396,Leeds 074A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,19
E01011396,Leeds 074A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,39
E01011396,Leeds 074A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,56
E01011396,Leeds 074A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,42
E01011396,Leeds 074A,Economically active and a full-time student: In employment: Employee: Part-time,42
E01011396,Leeds 074A,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011396,Leeds 074A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011396,Leeds 074A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011396,Leeds 074A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01011396,Leeds 074A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01011396,Leeds 074A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,19
E01011396,Leeds 074A,Economically active and a full-time student,65
E01011396,Leeds 074A,Economically inactive: Retired,333
E01011396,Leeds 074A,Economically inactive: Student,124
E01011396,Leeds 074A,Economically inactive: Looking after home or family,37
E01011396,Leeds 074A,Economically inactive: Long-term sick or disabled,49
E01011396,Leeds 074A,Economically inactive: Other,23
E01011397,Leeds 077A,Does not apply,289
E01011397,Leeds 077A,Economically active (excluding full-time students): In employment: Employee: Part-time,175
E01011397,Leeds 077A,Economically active (excluding full-time students): In employment: Employee: Full-time,466
E01011397,Leeds 077A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,1
E01011397,Leeds 077A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,8
E01011397,Leeds 077A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,28
E01011397,Leeds 077A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,39
E01011397,Leeds 077A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,22
E01011397,Leeds 077A,Economically active and a full-time student: In employment: Employee: Part-time,8
E01011397,Leeds 077A,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011397,Leeds 077A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011397,Leeds 077A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011397,Leeds 077A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011397,Leeds 077A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011397,Leeds 077A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,11
E01011397,Leeds 077A,Economically active and a full-time student,20
E01011397,Leeds 077A,Economically inactive: Retired,348
E01011397,Leeds 077A,Economically inactive: Student,36
E01011397,Leeds 077A,Economically inactive: Looking after home or family,26
E01011397,Leeds 077A,Economically inactive: Long-term sick or disabled,29
E01011397,Leeds 077A,Economically inactive: Other,13
E01011398,Leeds 077B,Does not apply,164
E01011398,Leeds 077B,Economically active (excluding full-time students): In employment: Employee: Part-time,125
E01011398,Leeds 077B,Economically active (excluding full-time students): In employment: Employee: Full-time,423
E01011398,Leeds 077B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01011398,Leeds 077B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,9
E01011398,Leeds 077B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,14
E01011398,Leeds 077B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,32
E01011398,Leeds 077B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,14
E01011398,Leeds 077B,Economically active and a full-time student: In employment: Employee: Part-time,8
E01011398,Leeds 077B,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011398,Leeds 077B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011398,Leeds 077B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011398,Leeds 077B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011398,Leeds 077B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011398,Leeds 077B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01011398,Leeds 077B,Economically active and a full-time student,13
E01011398,Leeds 077B,Economically inactive: Retired,274
E01011398,Leeds 077B,Economically inactive: Student,32
E01011398,Leeds 077B,Economically inactive: Looking after home or family,7
E01011398,Leeds 077B,Economically inactive: Long-term sick or disabled,16
E01011398,Leeds 077B,Economically inactive: Other,14
E01011399,Leeds 074B,Does not apply,266
E01011399,Leeds 074B,Economically active (excluding full-time students): In employment: Employee: Part-time,168
E01011399,Leeds 074B,Economically active (excluding full-time students): In employment: Employee: Full-time,467
E01011399,Leeds 074B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01011399,Leeds 074B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,11
E01011399,Leeds 074B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,35
E01011399,Leeds 074B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,39
E01011399,Leeds 074B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,29
E01011399,Leeds 074B,Economically active and a full-time student: In employment: Employee: Part-time,17
E01011399,Leeds 074B,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011399,Leeds 074B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011399,Leeds 074B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011399,Leeds 074B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011399,Leeds 074B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011399,Leeds 074B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011399,Leeds 074B,Economically active and a full-time student,23
E01011399,Leeds 074B,Economically inactive: Retired,334
E01011399,Leeds 074B,Economically inactive: Student,46
E01011399,Leeds 074B,Economically inactive: Looking after home or family,27
E01011399,Leeds 074B,Economically inactive: Long-term sick or disabled,39
E01011399,Leeds 074B,Economically inactive: Other,15
E01011400,Leeds 074C,Does not apply,229
E01011400,Leeds 074C,Economically active (excluding full-time students): In employment: Employee: Part-time,133
E01011400,Leeds 074C,Economically active (excluding full-time students): In employment: Employee: Full-time,425
E01011400,Leeds 074C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01011400,Leeds 074C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,5
E01011400,Leeds 074C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,20
E01011400,Leeds 074C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,54
E01011400,Leeds 074C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,27
E01011400,Leeds 074C,Economically active and a full-time student: In employment: Employee: Part-time,9
E01011400,Leeds 074C,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011400,Leeds 074C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011400,Leeds 074C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011400,Leeds 074C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011400,Leeds 074C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011400,Leeds 074C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,11
E01011400,Leeds 074C,Economically active and a full-time student,22
E01011400,Leeds 074C,Economically inactive: Retired,329
E01011400,Leeds 074C,Economically inactive: Student,41
E01011400,Leeds 074C,Economically inactive: Looking after home or family,33
E01011400,Leeds 074C,Economically inactive: Long-term sick or disabled,54
E01011400,Leeds 074C,Economically inactive: Other,20
E01011401,Leeds 077C,Does not apply,361
E01011401,Leeds 077C,Economically active (excluding full-time students): In employment: Employee: Part-time,175
E01011401,Leeds 077C,Economically active (excluding full-time students): In employment: Employee: Full-time,615
E01011401,Leeds 077C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01011401,Leeds 077C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,12
E01011401,Leeds 077C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,37
E01011401,Leeds 077C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,38
E01011401,Leeds 077C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,19
E01011401,Leeds 077C,Economically active and a full-time student: In employment: Employee: Part-time,11
E01011401,Leeds 077C,Economically active and a full-time student: In employment: Employee: Full-time,4
E01011401,Leeds 077C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011401,Leeds 077C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011401,Leeds 077C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01011401,Leeds 077C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011401,Leeds 077C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,10
E01011401,Leeds 077C,Economically active and a full-time student,26
E01011401,Leeds 077C,Economically inactive: Retired,363
E01011401,Leeds 077C,Economically inactive: Student,46
E01011401,Leeds 077C,Economically inactive: Looking after home or family,36
E01011401,Leeds 077C,Economically inactive: Long-term sick or disabled,22
E01011401,Leeds 077C,Economically inactive: Other,22
E01011402,Leeds 087D,Does not apply,317
E01011402,Leeds 087D,Economically active (excluding full-time students): In employment: Employee: Part-time,201
E01011402,Leeds 087D,Economically active (excluding full-time students): In employment: Employee: Full-time,529
E01011402,Leeds 087D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01011402,Leeds 087D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,28
E01011402,Leeds 087D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,41
E01011402,Leeds 087D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,65
E01011402,Leeds 087D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,30
E01011402,Leeds 087D,Economically active and a full-time student: In employment: Employee: Part-time,12
E01011402,Leeds 087D,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011402,Leeds 087D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011402,Leeds 087D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011402,Leeds 087D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011402,Leeds 087D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011402,Leeds 087D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011402,Leeds 087D,Economically active and a full-time student,19
E01011402,Leeds 087D,Economically inactive: Retired,594
E01011402,Leeds 087D,Economically inactive: Student,63
E01011402,Leeds 087D,Economically inactive: Looking after home or family,41
E01011402,Leeds 087D,Economically inactive: Long-term sick or disabled,61
E01011402,Leeds 087D,Economically inactive: Other,64
E01011403,Leeds 074D,Does not apply,167
E01011403,Leeds 074D,Economically active (excluding full-time students): In employment: Employee: Part-time,131
E01011403,Leeds 074D,Economically active (excluding full-time students): In employment: Employee: Full-time,381
E01011403,Leeds 074D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,3
E01011403,Leeds 074D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,10
E01011403,Leeds 074D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,27
E01011403,Leeds 074D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,35
E01011403,Leeds 074D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01011403,Leeds 074D,Economically active and a full-time student: In employment: Employee: Part-time,20
E01011403,Leeds 074D,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011403,Leeds 074D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011403,Leeds 074D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011403,Leeds 074D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011403,Leeds 074D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011403,Leeds 074D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01011403,Leeds 074D,Economically active and a full-time student,27
E01011403,Leeds 074D,Economically inactive: Retired,631
E01011403,Leeds 074D,Economically inactive: Student,31
E01011403,Leeds 074D,Economically inactive: Looking after home or family,14
E01011403,Leeds 074D,Economically inactive: Long-term sick or disabled,30
E01011403,Leeds 074D,Economically inactive: Other,20
E01011404,Leeds 077D,Does not apply,265
E01011404,Leeds 077D,Economically active (excluding full-time students): In employment: Employee: Part-time,141
E01011404,Leeds 077D,Economically active (excluding full-time students): In employment: Employee: Full-time,439
E01011404,Leeds 077D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,0
E01011404,Leeds 077D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,11
E01011404,Leeds 077D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,19
E01011404,Leeds 077D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,47
E01011404,Leeds 077D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,19
E01011404,Leeds 077D,Economically active and a full-time student: In employment: Employee: Part-time,12
E01011404,Leeds 077D,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011404,Leeds 077D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011404,Leeds 077D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011404,Leeds 077D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011404,Leeds 077D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011404,Leeds 077D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,10
E01011404,Leeds 077D,Economically active and a full-time student,24
E01011404,Leeds 077D,Economically inactive: Retired,316
E01011404,Leeds 077D,Economically inactive: Student,38
E01011404,Leeds 077D,Economically inactive: Looking after home or family,26
E01011404,Leeds 077D,Economically inactive: Long-term sick or disabled,20
E01011404,Leeds 077D,Economically inactive: Other,14
E01011405,Leeds 077E,Does not apply,210
E01011405,Leeds 077E,Economically active (excluding full-time students): In employment: Employee: Part-time,119
E01011405,Leeds 077E,Economically active (excluding full-time students): In employment: Employee: Full-time,360
E01011405,Leeds 077E,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01011405,Leeds 077E,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,8
E01011405,Leeds 077E,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,37
E01011405,Leeds 077E,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,42
